dataset,split,classe,nb_images,total_split,pourcentage
OCT,train,CNV,32280,128393,25.14
OCT,train,DME,32280,128393,25.14
OCT,train,DRUSEN,32280,128393,25.14
OCT,train,NORMAL,31553,128393,24.58
OCT,val,CNV,3798,9229,41.15
OCT,val,DME,1335,9229,14.47
OCT,val,DRUSEN,941,9229,10.2
OCT,val,NORMAL,3155,9229,34.19
OCT,test,CNV,6330,15373,41.18
OCT,test,DME,2219,15373,14.43
OCT,test,DRUSEN,1568,15373,10.2
OCT,test,NORMAL,5256,15373,34.19
XRAY,train,NORMAL,4329,8658,50.0
XRAY,train,PNEUMONIA,4329,8658,50.0
XRAY,val,NORMAL,189,699,27.04
XRAY,val,PNEUMONIA,510,699,72.96
XRAY,test,NORMAL,316,1165,27.12
XRAY,test,PNEUMONIA,849,1165,72.88
