dataset,split,classe,fichier,largeur_px,hauteur_px,pixels_total,ratio_wh,lum_moyenne,lum_std,contraste,pixel_min,pixel_max,r_mean,g_mean,b_mean,is_augmented
OCT,train,CNV,CNV-1016042-1.jpeg,512,496,253952,1.032,40.85,46.13,255,0,255,40.85,40.85,40.85,0
OCT,train,CNV,CNV-1016042-10.jpeg,768,496,380928,1.548,31.89,36.07,255,0,255,31.89,31.89,31.89,0
OCT,train,CNV,CNV-1016042-101.jpeg,512,496,253952,1.032,103.7,90.85,255,0,255,103.7,103.7,103.7,0
OCT,train,CNV,CNV-1016042-104.jpeg,512,496,253952,1.032,88.2,80.69,255,0,255,88.2,88.2,88.2,0
OCT,train,CNV,CNV-1016042-107.jpeg,512,496,253952,1.032,102.49,89.39,255,0,255,102.49,102.49,102.49,0
OCT,train,CNV,CNV-1016042-110.jpeg,1536,496,761856,3.097,37.29,37.51,255,0,255,37.29,37.29,37.29,0
OCT,train,CNV,CNV-1016042-113.jpeg,1536,496,761856,3.097,37.32,37.61,255,0,255,37.32,37.32,37.32,0
OCT,train,CNV,CNV-1016042-115.jpeg,512,496,253952,1.032,46.43,52.54,255,0,255,46.43,46.43,46.43,0
OCT,train,CNV,CNV-1016042-121.jpeg,512,496,253952,1.032,47.99,53.48,255,0,255,47.99,47.99,47.99,0
OCT,train,CNV,CNV-1016042-127.jpeg,1536,496,761856,3.097,30.99,35.11,255,0,255,30.99,30.99,30.99,0
OCT,train,CNV,CNV-1016042-133.jpeg,768,496,380928,1.548,71.26,84.66,255,0,255,71.26,71.26,71.26,0
OCT,train,CNV,CNV-1016042-139.jpeg,1536,496,761856,3.097,31.51,34.93,255,0,255,31.51,31.51,31.51,0
OCT,train,CNV,CNV-1016042-141.jpeg,1536,496,761856,3.097,35.1,36.42,255,0,255,35.1,35.1,35.1,0
OCT,train,CNV,CNV-1016042-147.jpeg,512,496,253952,1.032,49.59,44.18,255,0,255,49.59,49.59,49.59,0
OCT,train,CNV,CNV-1016042-150.jpeg,512,496,253952,1.032,40.81,37.47,255,0,255,40.81,40.81,40.81,0
OCT,train,CNV,CNV-1016042-156.jpeg,768,496,380928,1.548,35.9,36.83,255,0,255,35.9,35.9,35.9,0
OCT,train,CNV,CNV-1016042-159.jpeg,768,496,380928,1.548,33.69,36.76,255,0,255,33.69,33.69,33.69,0
OCT,train,CNV,CNV-1016042-168.jpeg,512,496,253952,1.032,56.4,66.06,255,0,255,56.4,56.4,56.4,0
OCT,train,CNV,CNV-1016042-171.jpeg,512,496,253952,1.032,55.72,61.7,255,0,255,55.72,55.72,55.72,0
OCT,train,CNV,CNV-1016042-174.jpeg,1536,496,761856,3.097,32.18,32.63,255,0,255,32.18,32.18,32.18,0
OCT,train,CNV,CNV-1016042-177.jpeg,512,496,253952,1.032,52.41,47.5,255,0,255,52.41,52.41,52.41,0
OCT,train,CNV,CNV-1016042-180.jpeg,512,496,253952,1.032,82.97,78.02,255,0,255,82.97,82.97,82.97,0
OCT,train,CNV,CNV-1016042-189.jpeg,768,496,380928,1.548,45.34,42.02,255,0,255,45.34,45.34,45.34,0
OCT,train,CNV,CNV-1016042-19.jpeg,768,496,380928,1.548,46.96,45.35,255,0,255,46.96,46.96,46.96,0
OCT,train,CNV,CNV-1016042-192.jpeg,768,496,380928,1.548,45.48,41.97,255,0,255,45.48,45.48,45.48,0
OCT,train,CNV,CNV-1016042-195.jpeg,768,496,380928,1.548,54.79,47.62,255,0,255,54.79,54.79,54.79,0
OCT,train,CNV,CNV-1016042-198.jpeg,768,496,380928,1.548,35.15,36.36,255,0,255,35.15,35.15,35.15,0
OCT,train,CNV,CNV-1016042-210.jpeg,512,496,253952,1.032,52.76,62.99,255,0,255,52.76,52.76,52.76,0
OCT,train,CNV,CNV-1016042-216.jpeg,768,496,380928,1.548,42.12,39.52,255,0,255,42.12,42.12,42.12,0
OCT,train,CNV,CNV-1016042-219.jpeg,512,496,253952,1.032,150.07,98.11,255,0,255,150.07,150.07,150.07,0
OCT,train,CNV,CNV-1016042-22.jpeg,512,496,253952,1.032,46.31,44.65,255,0,255,46.31,46.31,46.31,0
OCT,train,CNV,CNV-1016042-222.jpeg,512,496,253952,1.032,142.19,97.17,255,0,255,142.19,142.19,142.19,0
OCT,train,CNV,CNV-1016042-224.jpeg,512,496,253952,1.032,129.67,96.13,255,0,255,129.67,129.67,129.67,0
OCT,train,CNV,CNV-1016042-25.jpeg,512,496,253952,1.032,49.74,48.6,255,0,255,49.74,49.74,49.74,0
OCT,train,CNV,CNV-1016042-28.jpeg,512,496,253952,1.032,52.35,53.79,255,0,255,52.35,52.35,52.35,0
OCT,train,CNV,CNV-1016042-31.jpeg,768,496,380928,1.548,33.7,35.14,255,0,255,33.7,33.7,33.7,0
OCT,train,CNV,CNV-1016042-37.jpeg,768,496,380928,1.548,33.76,37.33,255,0,255,33.76,33.76,33.76,0
OCT,train,CNV,CNV-1016042-42.jpeg,768,496,380928,1.548,34.97,37.31,255,0,255,34.97,34.97,34.97,0
OCT,train,CNV,CNV-1016042-45.jpeg,512,496,253952,1.032,62.53,67.16,255,0,255,62.53,62.53,62.53,0
OCT,train,CNV,CNV-1016042-47.jpeg,768,496,380928,1.548,30.85,33.1,255,0,255,30.85,30.85,30.85,0
OCT,train,CNV,CNV-1016042-51.jpeg,768,496,380928,1.548,29.28,33.95,255,0,255,29.28,29.28,29.28,0
OCT,train,CNV,CNV-1016042-56.jpeg,512,496,253952,1.032,47.87,57.25,255,0,255,47.87,47.87,47.87,0
OCT,train,CNV,CNV-1016042-59.jpeg,512,496,253952,1.032,44.13,54.36,255,0,255,44.13,44.13,44.13,0
OCT,train,CNV,CNV-1016042-62.jpeg,1536,496,761856,3.097,57.91,73.51,255,0,255,57.91,57.91,57.91,0
OCT,train,CNV,CNV-1016042-65.jpeg,1536,496,761856,3.097,125.01,104.89,255,0,255,125.01,125.01,125.01,0
