dataset,split,classe,fichier,largeur_px,hauteur_px,pixels_total,ratio_wh,lum_moyenne,lum_std,contraste,pixel_min,pixel_max,r_mean,g_mean,b_mean,is_augmented
XRAY,train,NORMAL,IM-0005-0001.jpeg,2031,1837,3730947,1.106,136.25,55.4,255,0,255,136.25,136.25,136.25,0
XRAY,train,NORMAL,IM-0006-0001.jpeg,1663,1326,2205138,1.254,148.67,42.32,255,0,255,148.67,148.67,148.67,0
XRAY,train,NORMAL,IM-0007-0001.jpeg,2053,1818,3732354,1.129,137.7,53.97,255,0,255,137.7,137.7,137.7,0
XRAY,train,NORMAL,IM-0009-0001.jpeg,1852,1443,2672436,1.283,143.67,49.15,255,0,255,143.67,143.67,143.67,0
XRAY,train,NORMAL,IM-0011-0001-0002.jpeg,2214,1945,4306230,1.138,133.42,57.96,255,0,255,133.42,133.42,133.42,0
XRAY,train,NORMAL,IM-0011-0001.jpeg,1863,1785,3325455,1.044,126.21,52.8,255,0,255,126.21,126.21,126.21,0
XRAY,train,NORMAL,IM-0015-0001.jpeg,1803,1238,2232114,1.456,136.62,47.55,255,0,255,136.62,136.62,136.62,0
XRAY,train,NORMAL,IM-0016-0001.jpeg,2498,2057,5138386,1.214,134.13,62.22,255,0,255,134.13,134.13,134.13,0
XRAY,train,NORMAL,IM-0017-0001.jpeg,1984,1559,3093056,1.273,139.3,48.15,242,0,242,139.3,139.3,139.3,0
XRAY,train,NORMAL,IM-0022-0001.jpeg,1300,617,802100,2.107,86.49,33.04,255,0,255,86.49,86.49,86.49,0
XRAY,train,NORMAL,IM-0023-0001.jpeg,2022,1384,2798448,1.461,132.69,54.46,255,0,255,132.69,132.69,132.69,0
XRAY,train,NORMAL,IM-0025-0001.jpeg,2720,2458,6685760,1.107,133.16,66.38,255,0,255,133.16,133.16,133.16,0
XRAY,train,NORMAL,IM-0028-0001.jpeg,2522,2124,5356728,1.187,127.74,59.08,255,0,255,127.74,127.74,127.74,0
XRAY,train,NORMAL,IM-0030-0001.jpeg,1647,1314,2164158,1.253,109.65,51.13,255,0,255,109.65,109.65,109.65,0
XRAY,train,NORMAL,IM-0033-0001-0001.jpeg,2170,1953,4238010,1.111,151.9,65.7,255,0,255,151.9,151.9,151.9,0
XRAY,train,NORMAL,IM-0033-0001-0002.jpeg,2024,1836,3716064,1.102,147.58,55.0,255,0,255,147.58,147.58,147.58,0
XRAY,train,NORMAL,IM-0033-0001.jpeg,1658,1534,2543372,1.081,143.44,51.85,255,0,255,143.44,143.44,143.44,0
XRAY,train,NORMAL,IM-0035-0001.jpeg,2480,2329,5775920,1.065,130.8,58.67,255,0,255,130.8,130.8,130.8,0
XRAY,train,NORMAL,IM-0037-0001.jpeg,1741,1504,2618464,1.158,140.3,49.4,255,0,255,140.3,140.3,140.3,0
XRAY,train,NORMAL,IM-0041-0001.jpeg,2022,2071,4187562,0.976,107.91,53.8,255,0,255,107.91,107.91,107.91,0
XRAY,train,NORMAL,IM-0043-0001.jpeg,2297,2032,4667504,1.13,143.48,49.86,255,0,255,143.48,143.48,143.48,0
XRAY,train,NORMAL,IM-0045-0001.jpeg,2746,2382,6540972,1.153,145.05,58.46,255,0,255,145.05,145.05,145.05,0
XRAY,train,NORMAL,IM-0049-0001.jpeg,1762,1060,1867720,1.662,120.63,59.14,255,0,255,120.63,120.63,120.63,0
XRAY,train,NORMAL,IM-0050-0001.jpeg,2752,1882,5179264,1.462,131.46,54.08,255,0,255,131.46,131.46,131.46,0
XRAY,train,NORMAL,IM-0063-0001.jpeg,2034,1761,3581874,1.155,113.51,59.26,255,0,255,113.51,113.51,113.51,0
XRAY,train,NORMAL,IM-0067-0001.jpeg,1572,1125,1768500,1.397,109.07,61.59,255,0,255,109.07,109.07,109.07,0
XRAY,train,NORMAL,IM-0070-0001.jpeg,2034,1392,2831328,1.461,105.58,64.23,255,0,255,105.58,105.58,105.58,0
XRAY,train,NORMAL,IM-0071-0001.jpeg,2060,1558,3209480,1.322,130.28,60.15,255,0,255,130.28,130.28,130.28,0
XRAY,train,NORMAL,IM-0073-0001.jpeg,1322,650,859300,2.034,131.67,53.77,255,0,255,131.67,131.67,131.67,0
XRAY,train,NORMAL,IM-0075-0001.jpeg,1786,1068,1907448,1.672,131.75,59.17,255,0,255,131.75,131.75,131.75,0
