dataset,split,classe,nb_images,nb_originales,nb_augmentees,largeur_px_mean,largeur_px_std,largeur_px_min,largeur_px_max,hauteur_px_mean,hauteur_px_std,hauteur_px_min,hauteur_px_max,pixels_total_mean,pixels_total_std,pixels_total_min,pixels_total_max,ratio_wh_mean,ratio_wh_std,ratio_wh_min,ratio_wh_max,lum_moyenne_mean,lum_moyenne_std,lum_moyenne_min,lum_moyenne_max,lum_std_mean,lum_std_std,lum_std_min,lum_std_max,contraste_mean,contraste_std,contraste_min,contraste_max,r_mean_mean,r_mean_std,r_mean_min,r_mean_max,g_mean_mean,g_mean_std,g_mean_min,g_mean_max,b_mean_mean,b_mean_std,b_mean_min,b_mean_max
OCT,test,CNV,500,500,0,761.86,354.66,512,1536,496.0,0.0,496,496,377880.58,175909.31,253952,761856,1.54,0.72,1.03,3.1,50.76,20.2,18.98,154.73,50.53,16.4,24.22,103.51,255.0,0.0,255,255,50.76,20.2,18.98,154.73,50.76,20.2,18.98,154.73,50.76,20.2,18.98,154.73
OCT,test,DME,500,500,0,579.58,208.55,512,1536,506.5,7.61,496,512,292847.62,101753.76,253952,761856,1.15,0.43,1.0,3.1,50.96,21.51,21.59,152.19,52.07,18.89,23.38,108.79,254.99,0.16,252,255,50.96,21.51,21.59,152.19,50.96,21.51,21.59,152.19,50.96,21.51,21.59,152.19
OCT,test,DRUSEN,500,500,0,657.41,273.29,512,1536,496.0,0.0,496,496,326074.37,135552.77,253952,761856,1.33,0.55,1.03,3.1,49.55,17.13,21.83,160.54,52.3,15.65,24.36,103.42,255.0,0.0,255,255,49.55,17.13,21.83,160.54,49.55,17.13,21.83,160.54,49.55,17.13,21.83,160.54
OCT,test,NORMAL,500,500,0,603.65,223.67,512,1536,502.91,7.93,496,512,302948.35,109552.44,253952,761856,1.2,0.46,1.0,3.1,48.78,18.62,19.83,143.75,52.38,17.96,21.64,105.35,255.0,0.0,255,255,48.78,18.62,19.83,143.75,48.78,18.62,19.83,143.75,48.78,18.62,19.83,143.75
OCT,train,CNV,500,500,0,710.66,301.23,512,1536,496.0,0.0,496,496,352485.38,149411.06,253952,761856,1.43,0.61,1.03,3.1,52.35,20.68,20.46,152.26,50.49,15.37,22.11,104.89,255.0,0.0,255,255,52.35,20.68,20.46,152.26,52.35,20.68,20.46,152.26,52.35,20.68,20.46,152.26
OCT,train,DME,500,500,0,573.95,176.69,512,1536,505.66,7.83,496,512,289628.16,85977.68,253952,761856,1.14,0.36,1.0,3.1,48.15,20.3,16.56,179.29,50.31,18.67,18.27,106.29,254.98,0.36,247,255,48.15,20.3,16.56,179.29,48.15,20.3,16.56,179.29,48.15,20.3,16.56,179.29
OCT,train,DRUSEN,500,500,0,666.11,278.79,512,1536,496.0,0.0,496,496,330391.55,138279.6,253952,761856,1.34,0.56,1.03,3.1,49.98,19.65,23.28,165.64,52.01,16.86,24.32,105.34,255.0,0.0,255,255,49.98,19.65,23.28,165.64,49.98,19.65,23.28,165.64,49.98,19.65,23.28,165.64
OCT,train,NORMAL,500,500,0,716.8,334.51,512,1536,497.41,4.54,496,512,356253.7,165490.58,253952,761856,1.44,0.68,1.0,3.1,46.24,16.11,22.99,167.08,49.53,14.9,24.74,100.55,255.0,0.0,255,255,46.24,16.11,22.99,167.08,46.24,16.11,22.99,167.08,46.24,16.11,22.99,167.08
OCT,val,CNV,500,500,0,708.1,319.58,512,1536,496.0,0.0,496,496,351215.62,158509.62,253952,761856,1.43,0.64,1.03,3.1,53.69,22.41,20.36,151.45,53.16,18.24,23.74,107.23,255.0,0.0,255,255,53.69,22.41,20.36,151.45,53.69,22.41,20.36,151.45,53.69,22.41,20.36,151.45
OCT,val,DME,500,500,0,569.34,204.01,512,1536,507.9,6.99,496,512,288489.47,99523.71,253952,761856,1.12,0.42,1.0,3.1,52.01,20.23,20.55,128.77,52.86,18.43,23.69,104.73,255.0,0.04,254,255,52.01,20.23,20.55,128.77,52.01,20.23,20.55,128.77,52.01,20.23,20.55,128.77
